code,fiscal_year,agency_budgetary_resources,agency_total_obligated,agency_total_outlayed
012,2017,220459743630.97,135669747833.62,129361302398.19
012,2018,224372520297.27,183549040915.82,153019770723.32
012,2019,242451803717.47,204692683254.95,173497330727.81
012,2020,322370908923.19,290656732311.3,207802980515.53
012,2021,392371979973.22,260036840187.43,228534418542.24
012,2022,431862412285.9,286908446288.4,260259676067.52
012,2023,475155999521.89,296599267877.18,249293924049.04
012,2024,437203384922.49,253918299873.67,233005888496.86
012,2025,463595143994.27,276630012349.95,253236497823.79
012,2026,478838076132.12,207767733077.29,202826455695.6
020,2017,1311923245157.46,945941843810.26,949768285246.56
020,2018,1405347328731.59,1041301338675.78,1040990349461.26
020,2019,1444608434549.93,1078327377672.54,1077714091428.45
020,2020,2389439524606.83,1566561954994.18,1542776583386.55
020,2021,2730223492637.85,2188984081298.11,2073088903471.85
020,2022,1909755035874.35,1451623206993.42,1558625263575.59
020,2023,2093128575426.11,1644766940269.75,1635735469774.87
020,2024,2203032212292.41,1773034280269.05,1755765641617.74
020,2025,2378074445400.83,1953689394142.66,1951762873839.55
020,2026,3525650703580.85,1849247111434.93,1846678364428.9
036,2017,213704858456.67,191723947232.46,188526251421.85
036,2018,229872438117.02,204818097977.83,191362817205.92
036,2019,237847393473.01,216784441071.28,215119104268.18
036,2020,266302225776.41,244599441165.43,233849178283.31
036,2021,306294295107.65,256898873597.48,250555119082.92
036,2022,336140043685.34,283486478580.6,288282367684.19
036,2023,377439923705.81,324410305628.4,317616787902.52
036,2024,405829025008.46,367899875444.21,347998412337.48
036,2025,458775858774.24,412393503628.81,404935929341.35
036,2026,525641887103.91,371051747429.48,382390734652.69
