code,fiscal_year,period,obligated
012,2017,6,81294278042.91
012,2017,9,98201591945.13
012,2017,12,135669747833.62
012,2018,3,50692884493.21
012,2018,6,102015011100.94
012,2018,9,135792190833.5
012,2018,12,183549040915.82
012,2019,3,44987257696.78
012,2019,6,93879869044.91
012,2019,9,141194255704.24
012,2019,12,204692683254.95
012,2020,3,61724855399.76
012,2020,6,112722254181.58
012,2020,9,159547821296.79
012,2020,12,290656732311.3
012,2021,3,71829216506.9
012,2021,6,154677353859.84
012,2021,9,235729594780.14
012,2021,12,260036840187.43
012,2022,2,62823229901.83
012,2022,3,88145022108.11
012,2022,4,123218674537.0
012,2022,5,137229804171.33
012,2022,6,164658470854.76
012,2022,7,197983391222.5
012,2022,8,226145595050.92
012,2022,9,255450910565.72
012,2022,10,291658790719.62
012,2022,11,229286855867.33
012,2022,12,286908446288.4
012,2023,2,70159656555.31
012,2023,3,68384576324.21
012,2023,4,125166326689.79
012,2023,5,140280181503.55
012,2023,6,163720348983.45
012,2023,7,188498319535.51
012,2023,8,208712198331.02
012,2023,9,197090413608.61
012,2023,10,231521771336.19
012,2023,11,250440793726.75
012,2023,12,296599267877.18
012,2024,2,41231123171.06
012,2024,3,63116322696.06
012,2024,4,91303137593.55
012,2024,5,105416700597.41
012,2024,6,120940335913.15
012,2024,7,137251963496.75
012,2024,8,155063903091.14
012,2024,9,171279811872.85
012,2024,10,205394622704.63
012,2024,11,220820913360.96
012,2024,12,253918299873.67
012,2025,2,83913405954.2
012,2025,3,64086370040.78
012,2025,4,99931065018.34
012,2025,5,112704556862.99
012,2025,6,132652940635.6
012,2025,7,158772194883.85
012,2025,8,176718253506.47
012,2025,9,192710409405.8
012,2025,10,219374747181.47
012,2025,11,237015247780.85
012,2025,12,276630012349.95
012,2026,2,3284372873.82
012,2026,3,28901819476.97
012,2026,4,89239870217.54
012,2026,5,108007965059.2
012,2026,6,124034779614.36
012,2026,7,147512794326.58
012,2026,8,168205121918.92
012,2026,9,184197612601.34
012,2026,10,207767733077.29
020,2017,6,525392751346.6
020,2017,9,815541669515.58
020,2017,12,945941843810.26
020,2018,3,209558716777.13
020,2018,6,558353957462.49
020,2018,9,877516990570.72
020,2018,12,1041301338675.78
020,2019,3,229234542356.15
020,2019,6,562852437562.39
020,2019,9,907336365596.26
020,2019,12,1078327377672.54
020,2020,3,227170135560.3
020,2020,6,580584099932.03
020,2020,9,1312092059535.05
020,2020,12,1566561954994.18
020,2021,3,225939783327.81
020,2021,6,1045875996396.89
020,2021,9,1726016226096.64
020,2021,12,2188984081298.11
020,2022,2,161320871639.72
020,2022,3,304190577985.34
020,2022,4,365984309325.33
020,2022,5,514731246980.95
020,2022,6,716175426601.66
020,2022,7,892239192587.91
020,2022,8,1011937722304.03
020,2022,9,1150683383992.05
020,2022,10,1258272426881.29
020,2022,11,1371371365118.56
020,2022,12,1451623206993.42
020,2023,2,188968086477.62
020,2023,3,342988673218.64
020,2023,4,428278724568.48
020,2023,5,594745266081.27
020,2023,6,790207998579.94
020,2023,7,981171762219.8
020,2023,8,1119740318127.79
020,2023,9,1300726295209.32
020,2023,10,1427557660457.04
020,2023,11,1541676498386.95
020,2023,12,1644766940269.75
020,2024,2,246606649538.25
020,2024,3,392064309001.26
020,2024,4,482180561127.42
020,2024,5,679799495663.64
020,2024,6,877185357217.79
020,2024,7,1090403642323.37
020,2024,8,1277411537878.81
020,2024,9,1454407204950.07
020,2024,10,1532452780680.24
020,2024,11,1653202330080.07
