record_date,tot_pub_debt_out_amt,debt_held_public_amt,intragov_hold_amt
2015-01-02,18080612655244.26,13000209721920.03,5080402933324.23
2015-01-05,18091316381602.62,12999336609259.79,5091979772342.83
2015-01-06,18097814959110.13,12999569410502.08,5098245548608.05
2015-01-07,18098260560760.27,12999091201359.51,5099169359400.76
2015-01-08,18084817920825.53,12981962678994.62,5102855241830.91
2015-01-09,18085826074241.57,12981628166616.11,5104197907625.46
2015-01-12,18086946763085.79,12981011748689.49,5105935014396.3
2015-01-13,18092170790087.37,12980751749798.21,5111419040289.16
2015-01-14,18081478613745.94,12981666559709.4,5099812054036.54
2015-01-15,18079608395519.69,12971949359465.79,5107659036053.9
2015-01-16,18080794482225.47,12971502433051.37,5109292049174.1
2015-01-20,18086048044499.39,12970475453865.57,5115572590633.82
2015-01-21,18083464106854.21,12971143199110.03,5112320907744.18
2015-01-22,18087425445178.53,12970391793262.78,5117033651915.75
2015-01-23,18086335602055.12,12970193212137.56,5116142389917.56
2015-01-26,18087727352703.72,12970484928522.46,5117242424181.26
2015-01-27,18095120088870.92,12970533962395.64,5124586126475.28
2015-01-28,18082591078060.27,12970172927408.44,5112418150651.83
2015-01-29,18085063837781.82,12970704211784.51,5114359625997.31
2015-01-30,18082294157510.2,12984930426312.84,5097363731197.36
2015-02-02,18099042237253.89,13009390741738.74,5089651495515.15
2015-02-03,18098502229899.76,13009360166059.35,5089142063840.41
2015-02-04,18099980277424.32,13010253116961.72,5089727160462.6
2015-02-05,18125876697430.99,13030729516506.65,5095147180924.34
2015-02-06,18124962972729.9,13030502916525.58,5094460056204.32
2015-02-09,18128511342681.14,13030240698387.68,5098270644293.46
2015-02-10,18132368869938.98,13030084686437.05,5102284183501.93
2015-02-11,18120851078035.52,13030765585361.52,5090085492674.0
2015-02-12,18136906268079.51,13044634775705.21,5092271492374.3
2015-02-13,18136847747421.82,13044579279877.51,5092268467544.31
2015-02-17,18122443088634.22,13024634800903.09,5097808287731.13
2015-02-18,18122881555570.98,13025593746420.95,5097287809150.03
2015-02-19,18138459241907.59,13038548288145.09,5099910953762.5
2015-02-20,18140525203303.6,13038401615591.31,5102123587712.29
2015-02-23,18141409083212.36,13037661212728.82,5103747870483.54
2015-02-24,18148105006223.08,13038072925171.88,5110032081051.2
