code,active_fy,outlay_amount,obligated_amount,budget_authority_amount
005,2026,718573929.27,743810889.94,986295605.5
012,2026,202876344926.56,207817899340.12,478838076132.12
013,2026,17948356472.93,16092579872.75,51916170053.07
014,2026,31565160237.79,31054736739.1,93713071282.53
015,2026,46395552161.36,46832934453.82,87963795799.7
019,2026,35235549172.1,30157686981.59,95354807566.6
020,2026,1846678364428.9,1849247111434.93,3525650703580.85
024,2026,182859048611.81,183286764447.44,380816682810.84
025,2026,1499108.93,3525000.0,20501439.04
027,2026,9147551280.71,8365980155.87,-8542594867.78
028,2026,1520407517890.15,1528976949362.48,1581042552921.45
029,2026,0.0,0.0,0.0
031,2026,785840710.98,776728518.02,1124904351.79
034,2026,102212472.59,100996894.28,127504855.13
036,2026,382555645646.04,371051747428.75,525641887103.91
045,2026,351830968.64,350894628.24,470262229.19
047,2026,25185247777.39,25643846641.94,34634800175.26
049,2026,7122751225.12,4672418781.5,10201180822.22
050,2026,1657845085.26,1664568098.55,3265185431.31
051,2026,4399972427.43,4445834780.92,147839940159.73
054,2026,19333036.94,21929473.22,30052187.38
060,2026,0.0,0.0,0.0
061,2026,117650125.01,111176472.92,168755644.29
062,2026,23490995.16,26072215.24,32645324.91
065,2026,32113129.4,29812388.73,47414247.91
068,2026,14697450692.66,15208853418.05,56363141631.3
069,2026,112718546190.55,114375421014.56,302816100650.55
070,2026,233974683376.71,356404883925.57,646178920808.54
071,2026,360163.12,0.0,19389238.72
072,2026,9571381482.69,6345412074.4,16800971680.84
073,2026,14899291666.89,15014893889.49,20316864890.56
074,2026,93630752.62,130613006.87,278408050.96
075,2026,2512579380677.43,2674621212855.86,3650342489549.92
077,2026,1550586075.11,1481540532.84,10292200894.82
080,2026,20900933355.09,20568873126.49,44016818332.48
083,2026,389907151.97,375752152.76,669700306.43
084,2026,107428744.5,99533570.02,263014997.99
086,2026,72585250612.18,74460263036.68,338821609364.58
088,2026,585911778.83,560837571.14,881413719.83
089,2026,56649706500.61,63705146747.98,139454161467.2
090,2026,25758603.63,24779516.73,39553439.34
091,2026,16891884.9,4440282.87,4898282.87
093,2026,23011317.24,24284453.72,79530393.48
096,2026,25817905528.54,32034285615.31,75902494713.82
097,2026,1269728654137.55,1429515155907.09,2631408222827.34
1100,2026,762505334.52,844204400.75,1495132642.11
1125,2026,0.0,0.0,0.0
1133,2026,50619748.84,66570338.72,236465228.82
1601,2026,56566619484.6,59886063637.73,92621938789.55
1602,2026,9899951326.92,9826607440.57,91081275506.16
164,2026,13152516.11,11782181.56,57518227.47
166,2026,7740910.04,7942397.59,34864732.23
247,2026,0.0,0.0,0.0
290,2026,2551397.94,2831322.49,14082080.25
302,2026,2740039.25,2704805.32,3502154.18
306,2026,9674073.16,10266832.63,18380738.17
309,2026,11714500.74,7042535.73,29224242.43
310,2026,7779733.81,7799966.73,13574787.44
313,2026,1707475.05,4202525.67,41756122.64
321,2026,0.0,0.0,0.0
323,2026,7778983.16,7913173.07,9532553.62
326,2026,10227486.96,11515862.86,17057262.7
3301,2026,0.0,0.0,0.0
338,2026,9559188.03,9070423.21,17639665.77
339,2026,287395587.68,310018784.24,1470531328.93
345,2026,36064351.33,37793981.16,133745529.73
347,2026,33621674.39,32525481.08,51750763.03
349,2026,272040504.48,286172282.24,413747680.14
360,2026,62120044.09,66006799.14,87621920.47
362,2026,0.0,0.0,0.0
368,2026,12354274.79,12542844.28,25255023.66
372,2026,4998659.84,4980579.99,33142723.53
376,2026,0.0,0.0,0.0
381,2026,1568614.22,3217372.4,37064526.54
382,2026,1517202.02,1801649.0,3071187.13
387,2026,0.0,0.0,0.0
389,2026,39848414.54,40211543.67,60742970.32
394,2026,8886218.23,11886960.06,18934819.68
413,2026,0.0,0.0,0.0
417,2026,125197300.94,172996510.13,285901279.86
418,2026,52762115.32,177175556.08,444762449.2
420,2026,229295028.43,219985179.4,312798899.15
421,2026,11722650.39,10888564.86,19935596.77
424,2026,119999167.27,106063520.51,170200876.02
431,2026,3015918.35,3059118.66,5488225.78
432,2026,10914411.98,9995649.95,19695338.83
434,2026,16090613.4,17672377.0,30470922.24
435,2026,0.0,0.0,0.0
471,2026,172701406.43,39033409.64,295131858.69
472,2026,0.0,0.0,0.0
473,2026,0.0,0.0,0.0
474,2026,181769167.71,226963637.14,310658294.71
485,2026,0.0,0.0,0.0
487,2026,8397921.31,8247060.11,28155085.36
510,2026,10911861.57,9981790.64,19836734.46
512,2026,289183722.33,283122719.12,552328827.19
513,2026,46886388.83,13310722.29,216795236.95
514,2026,490569804.02,525540488.69,918288862.52
517,2026,67827155.81,72421461.02,103790035.65
519,2026,0.0,0.0,0.0
524,2026,505552099.01,192800796.86,3013068893.53
525,2026,52058120.79,61845193.72,75748775.6
535,2026,10510684.27,12187600.24,17991315.16
542,2026,23888372.37,26090736.12,157970125.69
569,2026,0.0,0.0,0.0
573,2026,40120926.53,97231852.17,224907300.3
574,2026,0.0,0.0,0.0
579,2026,721992331.61,720257651.3,1288983057.75
581,2026,390693336.28,375417574.26,910300976.19
7802,2026,227989647.32,230323162.74,9000785050.74
9553,2026,214797318.97,204650232.65,385965516.79
