fiscal_year,fiscal_period,total_budgetary_resources
2023,2,8030160539652.04
2023,3,11175418338470.8
2023,4,11452525491046.04
2023,5,13989327919708.82
2023,6,12629473548065.29
2023,7,12228929090714.57
2023,8,13380553713499.48
2023,9,12996630502030.84
2023,10,13365403393218.56
2023,11,13615337201704.1
2023,12,11889863708699.81
2024,2,9596098505000.58
2024,3,11581875029819.39
2024,4,11541240818672.42
2024,5,12229811990803.8
2024,6,13865505067157.33
2024,7,14158411193616.05
2024,8,14467363397078.02
2024,9,13791300088761.09
2024,10,14582320379693.84
2024,11,13568144291419.49
2024,12,12248550270454.0
2025,2,9675188413345.46
2025,3,10830081110884.22
2025,4,11675780818419.5
2025,5,14297107728300.2
2025,6,14651831778670.89
2025,7,15086996780535.34
2025,8,14195466060777.52
2025,9,15330351529402.55
2025,10,14462419485223.75
2025,11,15772073357024.44
2025,12,13263700405307.76
