record_date,classification_desc,line_code_nbr,current_month_amt,fytd_amt,prior_fytd_amt
2023-07-31,Receipts,10,,,
2023-07-31,Individual Income Taxes,20,131656013767.79,1825199259283.51,2263483420009.17
2023-07-31,Corporation Income Taxes,30,14252304707.68,320144679494.62,314288077507.75
2023-07-31,Social Insurance and Retirement Receipts:,40,,,
2023-07-31,Employment and General Retirement,50,114294514480.36,1311830845007.12,1171364854877.64
2023-07-31,Unemployment Insurance,60,4101256826.33,45138146226.27,57224451061.38
2023-07-31,Other Retirement,70,552684550.77,5623933008.03,5181362069.82
2023-07-31,Excise Taxes,80,742407192.62,60160005398.01,67495899403.62
2023-07-31,Estate and Gift Taxes,90,1130558036.64,28961123874.27,26661626255.81
2023-07-31,Customs Duties,100,6909949193.88,67333687473.97,82710940590.58
2023-07-31,Miscellaneous Receipts,110,2521165387.78,24289170627.52,116264020654.49
2023-07-31,Total,120,276160854143.85,3688680850393.32,4104674652430.26
2023-07-31,Net Outlays,130,,,
2023-07-31,National Defense,140,56168021849.83,665922068552.91,622222223835.29
2023-07-31,International Affairs,150,4611072003.87,57798600270.93,53508973769.98
2023-07-31,"General Science, Space, and Technology",160,3079018101.05,32803879538.55,30131956631.17
2023-07-31,Energy,170,-49721757.17,-320740541.51,-4971758093.5
2023-07-31,Natural Resources and Environment,180,4422524040.76,36892406640.44,32321563038.87
2023-07-31,Agriculture,190,2028352867.1,31024346229.38,30029102332.61
2023-07-31,Commerce and Housing Credit,200,1300061112.57,52234569283.55,-13297839749.26
2023-07-31,Transportation,210,10493047959.37,99769791284.57,102857102102.47
2023-07-31,Community and Regional Development,220,3612099280.36,77471142991.95,63254726047.17
2023-07-31,"Education, Training, Employment, and Social Services",230,85730071594.53,286326662229.48,190757139789.51
2023-07-31,Health,240,67485474319.59,740949471315.98,759393707106.02
2023-07-31,Medicare,250,21277952832.17,656818155086.03,590153943351.51
2023-07-31,Income Security,260,43360720031.31,665938019497.39,750841356216.29
2023-07-31,Social Security,270,115580653159.43,1122356735933.54,1011603182524.86
2023-07-31,Veterans Benefits and Services,280,12906805542.15,232788564406.93,217143031194.24
2023-07-31,Administration of Justice,290,5833855059.11,67558909284.13,59177621538.71
2023-07-31,General Government,300,1300367977.66,27237814791.02,119754538752.63
2023-07-31,Net Interest,320,67031817450.0,561262892050.74,408839304376.28
2023-07-31,Undistributed Offsetting Receipts,330,-9229241926.24,-112730766102.97,-192926616676.06
2023-07-31,Total,340,496942951497.45,5302102522743.04,4830793258088.79
2023-08-31,Receipts,10,,,
2023-08-31,Individual Income Taxes,20,130260689813.88,1955459949097.39,2404419075372.07
2023-08-31,Corporation Income Taxes,30,4310923013.46,324455602508.08,318923856733.35
2023-08-31,Social Insurance and Retirement Receipts:,40,,,
2023-08-31,Employment and General Retirement,50,116898143847.14,1428728988854.26,1284877566101.73
2023-08-31,Unemployment Insurance,60,4015964458.15,49154110684.42,66097914778.76
2023-08-31,Other Retirement,70,560788289.35,6184721297.38,5667980667.19
2023-08-31,Excise Taxes,80,8446068070.32,68606073468.33,76048023083.72
2023-08-31,Estate and Gift Taxes,90,2877426826.66,31838550700.93,29087968740.2
2023-08-31,Customs Duties,100,6325140881.04,73658828355.01,91166512419.39
2023-08-31,Miscellaneous Receipts,110,9435060957.26,33724231584.78,132107257792.55
2023-08-31,Total,120,283130206157.26,3971811056550.58,4408396155688.96
2023-08-31,Net Outlays,130,,,
2023-08-31,National Defense,140,70285113367.73,736207141222.71,685541450591.43
2023-08-31,International Affairs,150,3681407875.09,61479736231.02,63753648985.96
2023-08-31,"General Science, Space, and Technology",160,4013566620.92,36817446159.47,33844510055.64
2023-08-31,Energy,170,-978526468.33,-1299267009.84,-7147592654.41
2023-08-31,Natural Resources and Environment,180,6261873508.23,43154280148.67,36136855040.81
2023-08-31,Agriculture,190,2368243050.99,33392589280.37,32541291138.85
2023-08-31,Commerce and Housing Credit,200,1963768995.49,54198338279.04,-12801036786.02
2023-08-31,Transportation,210,12655308604.82,112425099889.39,117378727169.29
2023-08-31,Community and Regional Development,220,4997874954.7,82469017946.65,67693699055.33
2023-08-31,"Education, Training, Employment, and Social Services",230,-316031096874.15,-29704434644.67,227300764518.83
2023-08-31,Health,240,71270447280.49,812219918596.47,837115470852.53
2023-08-31,Medicare,250,73140865244.0,729959020330.03,651112879334.6
2023-08-31,Income Security,260,50513458815.09,716451478312.48,807131406070.75
2023-08-31,Social Security,270,115965781990.31,1238322517923.85,1115151469709.38
2023-08-31,Veterans Benefits and Services,280,25837439701.66,258626004108.59,238736902170.96
2023-08-31,Administration of Justice,290,6480135036.32,74039044320.45,65269518382.37
2023-08-31,General Government,300,2002832119.5,29240959523.45,126091676803.71
2023-08-31,Net Interest,320,68824294842.27,630087186893.01,471496085224.15
2023-08-31,Undistributed Offsetting Receipts,330,-9378155201.6,-122108921304.57,-202236723367.03
2023-08-31,Total,340,193874633463.53,5495977156206.57,5354111002297.13
2023-09-30,Receipts,10,,,
2023-09-30,Individual Income Taxes,20,221020699813.35,2176480648910.74,2632145029572.13
2023-09-30,Corporation Income Taxes,30,95128247456.24,419583849964.32,424865169899.91
2023-09-30,Social Insurance and Retirement Receipts:,40,,,
2023-09-30,Employment and General Retirement,50,129418774276.45,1558147763130.71,1410735251952.13
2023-09-30,Unemployment Insurance,60,248119465.0,49402230149.42,66497452818.74
2023-09-30,Other Retirement,70,719057429.94,6903778727.32,6294427995.5
2023-09-30,Excise Taxes,80,7197497389.82,75803570858.15,87726258304.53
2023-09-30,Estate and Gift Taxes,90,1829597083.0,33668147783.93,32550398044.75
2023-09-30,Customs Duties,100,6678440109.14,80337268464.15,99907565997.1
2023-09-30,Miscellaneous Receipts,110,5232250347.02,38956481931.8,135397619618.14
2023-09-30,Total,120,467472683369.96,4439283739920.54,4896119174202.93
2023-09-30,Net Outlays,130,,,
2023-09-30,National Defense,140,84526950382.75,820734092776.06,766712970480.6
2023-09-30,International Affairs,150,7830490468.86,69306106586.44,71697997228.43
2023-09-30,"General Science, Space, and Technology",160,4558752533.62,41376198693.09,37481994712.02
2023-09-30,Energy,170,965138902.96,-334128106.88,-9057949948.31
2023-09-30,Natural Resources and Environment,180,2735642666.42,45889922815.09,39626171166.35
2023-09-30,Agriculture,190,2161729392.21,35554318672.58,34881927617.06
2023-09-30,Commerce and Housing Credit,200,45756122589.22,99954455188.26,-19493545470.07
2023-09-30,Transportation,210,14808907517.02,127234007406.41,131573173362.58
2023-09-30,Community and Regional Development,220,6435841666.51,88904859613.16,72062522229.93
2023-09-30,"Education, Training, Employment, and Social Services",230,26579191752.03,-3125242892.64,676593525192.98
2023-09-30,Health,240,77076759514.1,889296678110.57,914493788417.8
2023-09-30,Medicare,250,117585046880.27,847544067210.3,755094428009.37
2023-09-30,Income Security,260,57716971641.75,774168449954.23,865948804791.16
2023-09-30,Social Security,270,115996309579.52,1354318827503.37,1218674437413.83
2023-09-30,Veterans Benefits and Services,280,42980392496.75,301606396605.34,274409836598.5
2023-09-30,Administration of Justice,290,7134388824.05,81173433144.5,72090892981.5
2023-09-30,General Government,300,4328410256.24,33573494402.53,128653452756.64
2023-09-30,Net Interest,320,29095126690.32,659182313583.33,475120812162.87
2023-09-30,Undistributed Offsetting Receipts,330,-9817289509.86,-131926210814.43,-234965034724.34
2023-09-30,Total,340,638454884244.74,6134432040451.31,6271600204978.9
2023-10-31,Receipts,10,,,
2023-10-31,Individual Income Taxes,20,219908490044.97,219908490044.97,175349242554.17
2023-10-31,Corporation Income Taxes,30,48208044225.24,48208044225.24,14629957118.97
2023-10-31,Social Insurance and Retirement Receipts:,40,,,
2023-10-31,Employment and General Retirement,50,110154483698.91,110154483698.91,103735430780.98
2023-10-31,Unemployment Insurance,60,3410855103.67,3410855103.67,3741007300.52
2023-10-31,Other Retirement,70,644898768.99,644898768.99,543148594.13
2023-10-31,Excise Taxes,80,7262917286.27,7262917286.27,5812154792.93
2023-10-31,Estate and Gift Taxes,90,4460434123.8,4460434123.8,2805666262.48
2023-10-31,Customs Duties,100,6902737488.69,6902737488.69,8163250209.25
2023-10-31,Miscellaneous Receipts,110,2480680179.26,2480680179.26,3720222245.66
2023-10-31,Total,120,403433540919.8,403433540919.8,318500079859.09
2023-10-31,Net Outlays,130,,,
2023-10-31,National Defense,140,87367619692.67,87367619692.67,76510612397.38
2023-10-31,International Affairs,150,6001399169.94,6001399169.94,6267200066.88
2023-10-31,"General Science, Space, and Technology",160,3402604284.3,3402604284.3,3459325952.78
2023-10-31,Energy,170,976604061.68,976604061.68,410398101.81
2023-10-31,Natural Resources and Environment,180,5049804781.74,5049804781.74,3469361055.73
2023-10-31,Agriculture,190,7915994705.17,7915994705.17,8369461498.3
2023-10-31,Commerce and Housing Credit,200,18328308657.92,18328308657.92,4183938725.66
2023-10-31,Transportation,210,11020720274.1,11020720274.1,9676070052.7
2023-10-31,Community and Regional Development,220,4761605946.16,4761605946.16,5093920391.35
2023-10-31,"Education, Training, Employment, and Social Services",230,22317917714.3,22317917714.3,17974090704.79
2023-10-31,Health,240,70549004635.81,70549004635.81,70485795664.28
2023-10-31,Medicare,250,23505871603.92,23505871603.92,18725762749.05
2023-10-31,Income Security,260,32863277488.98,32863277488.98,42214479488.18
2023-10-31,Social Security,270,117269102390.7,117269102390.7,104440076685.71
2023-10-31,Veterans Benefits and Services,280,14104961558.53,14104961558.53,11451218940.23
2023-10-31,Administration of Justice,290,7971119501.96,7971119501.96,7252793238.39
2023-10-31,General Government,300,1533219814.95,1533219814.95,2930451083.83
2023-10-31,Net Interest,320,75989864412.8,75989864412.8,43005664743.8
2023-10-31,Undistributed Offsetting Receipts,330,-40931908646.1,-40931908646.1,-29546377568.59
2023-10-31,Total,340,469997092049.53,469997092049.53,406374243972.26
2023-11-30,Receipts,10,,,
2023-11-30,Individual Income Taxes,20,126892605992.93,346801096037.9,289050027327.68
2023-11-30,Corporation Income Taxes,30,7801178277.36,56009222502.6,17572812198.58
2023-11-30,Social Insurance and Retirement Receipts:,40,,,
2023-11-30,Employment and General Retirement,50,118679460510.95,228833944209.86,215530395072.27
2023-11-30,Unemployment Insurance,60,2761509388.19,6172364491.86,6747822667.32
2023-11-30,Other Retirement,70,605973756.1,1250872525.09,1071818475.43
2023-11-30,Excise Taxes,80,7690866528.25,14953783814.52,13855329340.77
2023-11-30,Estate and Gift Taxes,90,2320907869.1,6781341992.9,5423909327.66
2023-11-30,Customs Duties,100,6296206194.39,13198943683.08,15334722079.34
2023-11-30,Miscellaneous Receipts,110,1781327263.88,4262007443.14,6024052352.44
2023-11-30,Total,120,274830035781.15,678263576700.95,570610888841.49
2023-11-30,Net Outlays,130,,,
2023-11-30,National Defense,140,70176094836.89,157543481909.66,138339103560.07
2023-11-30,International Affairs,150,7088089455.68,13089488625.62,14451911651.62
2023-11-30,"General Science, Space, and Technology",160,3447269732.86,6849874017.16,6417130784.9
2023-11-30,Energy,170,1438355108.29,2414959169.97,-2885100992.82
2023-11-30,Natural Resources and Environment,180,4903971185.0,9953775966.74,7634485107.55
2023-11-30,Agriculture,190,2555706703.11,10471701408.28,12145150422.12
2023-11-30,Commerce and Housing Credit,200,49267545203.58,67595853861.5,5728147985.53
2023-11-30,Transportation,210,10930656008.76,21951376282.86,20092542686.86
2023-11-30,Community and Regional Development,220,3781247481.29,8542853427.45,9492573128.27
2023-11-30,"Education, Training, Employment, and Social Services",230,13901062365.4,36218980079.7,43070898504.8
2023-11-30,Health,240,76381757101.97,146930761737.78,146903617688.98
2023-11-30,Medicare,250,79391592285.52,102897463889.44,88322157122.77
2023-11-30,Income Security,260,49431587837.41,82294865326.39,96923647077.21
2023-11-30,Social Security,270,116361559983.07,233630662373.77,208595517652.43
2023-11-30,Veterans Benefits and Services,280,26488658290.84,40593619849.37,33952505252.36
2023-11-30,Administration of Justice,290,6440966039.61,14412085541.57,13465101904.8
2023-11-30,General Government,300,3859291712.07,5392744146.92,12330669450.59
2023-11-30,Net Interest,320,71817851139.5,147807715552.3,90308647681.85
2023-11-30,Undistributed Offsetting Receipts,330,-8821224402.61,-49753133048.71,-38268773062.65
2023-11-30,Total,340,588842038068.24,1058839130117.77,907019933607.24
2023-12-31,Receipts,10,,,
2023-12-31,Individual Income Taxes,20,178207906187.19,525009002225.09,504588532639.3
2023-12-31,Corporation Income Taxes,30,93925134289.6,149934356792.2,105390695194.84
2023-12-31,Social Insurance and Retirement Receipts:,40,,,
2023-12-31,Employment and General Retirement,50,139981781797.53,368815726007.39,347215427562.0
2023-12-31,Unemployment Insurance,60,370567903.81,6542932395.67,7277518158.04
2023-12-31,Other Retirement,70,580341672.41,1831214197.5,1606036944.68
2023-12-31,Excise Taxes,80,6971986549.43,21925770363.95,20961105712.52
2023-12-31,Estate and Gift Taxes,90,1654492363.95,8435834356.85,7034603108.99
2023-12-31,Customs Duties,100,5744452854.98,18943396538.06,21887109240.92
2023-12-31,Miscellaneous Receipts,110,1873990947.18,6135998390.32,9592231939.72
2023-12-31,Total,120,429310654566.08,1107574231267.03,1025553260501.01
2023-12-31,Net Outlays,130,,,
