code,name,abbreviation
005,Government Accountability Office,GAO
012,Department of Agriculture,USDA
013,Department of Commerce,DOC
014,Department of the Interior,DOI
015,Department of Justice,DOJ
019,Department of State,DOS
020,Department of the Treasury,TREAS
024,Office of Personnel Management,OPM
025,National Credit Union Administration,NCUA
027,Federal Communications Commission,FCC
028,Social Security Administration,SSA
029,Federal Trade Commission,FTC
031,Nuclear Regulatory Commission,NRC
034,International Trade Commission,USITC
036,Department of Veterans Affairs,VA
045,Equal Employment Opportunity Commission,EEOC
047,General Services Administration,GSA
049,National Science Foundation,NSF
050,Securities and Exchange Commission,SEC
051,Federal Deposit Insurance Corporation,FDIC
054,Federal Labor Relations Authority,FLRA
060,Railroad Retirement Board,RRB
061,Consumer Product Safety Commission,CPSC
062,Office of Special Counsel,OSC
065,Federal Maritime Commission,FMC
068,Environmental Protection Agency,EPA
069,Department of Transportation,DOT
070,Department of Homeland Security,DHS
071,Overseas Private Investment Corporation,OPIC
072,Agency for International Development,USAID
073,Small Business Administration,SBA
074,American Battle Monuments Commission,ABMC
075,Department of Health and Human Services,HHS
077,U.S. International Development Finance Corporation,DFC
080,National Aeronautics and Space Administration,NASA
083,Export-Import Bank of the United States,EXIM
084,Armed Forces Retirement Home,AFRH
086,Department of Housing and Urban Development,HUD
088,National Archives and Records Administration,NARA
089,Department of Energy,DOE
090,Selective Service System,SSS
091,Department of Education,ED
093,Federal Mediation and Conciliation Service,FMCS
096,Corps of Engineers - Civil Works,USACE
097,Department of Defense,DOD
1100,Executive Office of the President,EOP
1125,Peace Corps,PC
1133,United States Trade and Development Agency,USTDA
1601,Department of Labor,DOL
1602,Pension Benefit Guaranty Corporation,PBGC
164,Inter-American Foundation,IAF
166,African Development Foundation,USADF
247,400 Years of African-American History Commission,AAHC
290,Public Buildings Reform Board,PBRB
302,Administrative Conference of the U.S.,ACUS
306,Advisory Council on Historic Preservation,ACHP
309,Appalachian Regional Commission,ARC
310,Access Board,USAB
313,Barry Goldwater Scholarship and Excellence In Education Foundation,GOLDWATER
321,Commission for the Preservation of America's Heritage Abroad,HERITAGEABROAD
323,Commission of Fine Arts,CFA
326,Commission on Civil Rights,USCCR
3301,John F. Kennedy Center for the Performing Arts,KENNEDY CENTER
338,Committee for Purchase from People Who Are Blind or Severely Disabled,ABILITYONE
339,Commodity Futures Trading Commission,CFTC
345,United States Court of Appeals for Veterans Claims,CAVC
347,Defense Nuclear Facilities Safety Board,DNFSB
349,District of Columbia Courts,DC COURTS
360,Federal Election Commission,FEC
362,Federal Financial Institutions Examination Council,FFIEC
368,Federal Mine Safety and Health Review Commission,FMSHRC
372,Harry S Truman Scholarship Foundation,TRUMAN
376,U.S. Interagency Council on Homelessness,USICH
381,James Madison Memorial Fellowship Foundation,MADISON
382,Japan-United States Friendship Commission,JUSFC
387,Marine Mammal Commission,MMC
389,Merit Systems Protection Board,MSPB
394,National Capital Planning Commission,NCPC
413,National Council on Disability,NCD
417,National Endowment for the Arts,NEA
418,National Endowment for the Humanities,NEH
420,National Labor Relations Board,NLRB
421,National Mediation Board,NMB
424,National Transportation Safety Board,NTSB
431,Nuclear Waste Technical Review Board,NWTRB
432,Occupational Safety and Health Review Commission,OSHRC
434,Office of Government Ethics,OGE
435,Office of Navajo and Hopi Indian Relocation,ONHIR
471,Gulf Coast Ecosystem Restoration Council,GCERC
472,Surface Transportation Board,STB
473,Federal Permitting Improvement Steering Council,FPISC
474,Institute of Museum and Library Services,IMLS
485,Corporation for National and Community Service,CNCS
487,Morris K. Udall and Stewart L. Udall Foundation,UDALL
510,United States Chemical Safety Board,CSB
512,Presidio Trust,PRESIDIO
513,Denali Commission,DENALI
514,U.S. Agency for Global Media,USAGM
517,Delta Regional Authority,DRA
519,Vietnam Education Foundation,VEF
524,Millennium Challenge Corporation,MCC
525,Election Assistance Commission,EAC
535,Privacy and Civil Liberties Oversight Board,PCLOB
542,Council of the Inspectors General on Integrity and Efficiency,CIGIE
569,Southwest Border Regional Commission,SBRC
573,Northern Border Regional Commission,NBRC
574,Southeast Crescent Regional Commission,SCRC
579,Patient-Centered Outcomes Research Trust Fund,PCORTF
581,Consumer Financial Protection Bureau,CFPB
7802,Farm Credit System Insurance Corporation,FCSIC
9553,Court Services and Offender Supervision Agency,CSOSA
