code,name,obligated_amount,gross_outlay_amount
036-0102,"Compensation and Pensions, Veterans Benefits Administration, Veterans Affairs",177918274520.18,162284812088.55
036-0110,"Construction, Major Projects, Departmental Administration, Veterans Affairs",607112771.47,558400328.43
036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",1032531724.87,463294781.61
036-0120,"Veterans Insurance and Indemnities, Veterans Benefits Administration, Veterans Affairs",141369729.65,142283397.05
036-0129,"National Cemetery Administration, Veterans Health Administration, Veterans Affair",504350668.17,471713768.86
036-0137,"Readjustment Benefits, Veterans Benefits Administration, Veterans Affairs",14449159285.93,13735359725.58
036-0140,"Medical Community Care, Veterans Health Administration, Veterans Affairs",31784708657.33,31669947296.27
036-0142,"General Administration, Departmental Administration, Veterans Affairs",1009074804.91,999947696.41
036-0151,"General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",10128618900.05,8805199787.1
036-0152,"Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",10706535128.71,10490142963.54
036-0160,"Medical Services, Veterans Health Administration, Veterans Affairs",71469065668.18,70892394089.88
036-0161,"Medical and Prosthetic Research, Veterans Health Administration, Veterans Affairs",1036210619.88,1009069191.81
036-0162,"Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",9294558411.45,8984108626.56
036-0165,"DOD-VA Health Care Sharing Incentive Fund, Veterans Affairs",39165407.94,30704335.21
036-0167,"Information Technology Systems, Departmental Administration, Veterans Affairs",6843558538.54,6342752142.91
036-0169,"Joint Department of Defense - Department of Veterans Affairs Medical Facility Demonstration Fund, Veterans Affairs",716375728.08,698178154.5
036-0170,"Office of Inspector General, Departmental Administration, Veterans Affairs",288033290.23,292611666.55
036-0172,"Veterans Choice Fund, Veterans Health Administration, Veterans Affairs",296778.22,291584.38
036-0173,"Veterans Medical Care and Health Fund, Veterans Health Administration, Veterans Affairs",85521027.81,1082767843.66
036-0181,"Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs",10526645.29,254216018.41
036-0183,"Grants for Construction of State Veterans Cemeteries, Departmental Administration, Veterans Affairs",44553338.0,59409557.48
036-1114,"Vocational Rehabilitation Loans Program Account, Veterans Benefits Administration, Veterans Affairs",508279.28,508279.28
036-1119,"Veterans Housing Benefit Program Fund, Veterans Benefits Administration, Veterans Affairs",1949819262.2,1713968511.84
036-1120,"Native American Veteran Housing Loan Program Account, Veterans Benefits Administration, Veterans Affairs",4788930.23,2154304.23
036-1122,"Board of Veterans Appeals, Departmental Administration, Veterans Affairs",281642336.05,275452093.73
036-1123,"Veterans Electronic Health Record, Departmental Administration, Veterans Affairs",1616603679.99,1285070257.36
036-1124,"Recurring Expenses Transformational Fund, Departmental Administration, Veterans Affairs",61403729.25,25138264.54
036-1126,"Cost of War Toxic Exposures Fund, Departmental Administration, Veterans Affairs",19821519440.94,19456868061.8
036-4009,"Servicemen's Group Life Insurance Fund, Veterans Affairs",818246592.0,818281592.0
036-4010,"Veterans Reopened Insurance Fund, Veterans Affairs",6540146.82,9069598.09
036-4012,"Service-Disabled Veterans Insurance Fund, Veterans Affairs",191072348.77,191118094.9
036-4014,"Canteen Service Revolving Fund, Veterans Affairs",408303405.82,425480958.15
036-4018,"Pershing Hall Revolving Fund, Veterans Affairs",67760.15,32445.78
036-4025,"Veterans Housing Benefit Program Fund Liquidating Account, Veterans Affairs",182075.97,183771.19
036-4379,"Veteran Affairs Life Insurance, Veterans Benefits Administration, Veterans Affairs",8608746.34,7594501.23
036-4537,"Supply Fund, Veterans Affairs",2205278525.75,2098569022.33
036-4539,"Franchise Fund, Veterans Affairs",2040883867.17,1932746107.79
036-5392,"National Cemetery Administration Facilities Operation Fund, Veterans Affairs",31176.45,31176.45
036-8129,"Department of Veterans Affairs Cemetery Gift Fund, Veterans Affairs",241212.3,209979.7
036-8132,"National Service Life Insurance Fund, Veterans Affairs",218140814.9,285181064.62
036-8133,"Post-Vietnam Era, Veterans Education Account, Veterans Affairs",3022609.06,2967490.92
036-8150,"United States Government Life Insurance Fund, Veterans Affairs",92740.71,94577.37
036-8180,"General Post Fund, National Homes, Veterans Affairs",20311363.16,19915491.16
036-8455,"Veterans Special Life Insurance Fund, Trust Revolving Fund, Veterans Affairs",132964756.01,180171648.27
